
Mo,Zo,Age,Mass,logL,logTe

120.00,0.020, 7.200548e+03,119.9626, 6.252, 4.727
120.00,0.020, 3.189035e+05,118.4764, 6.265, 4.713
120.00,0.020, 7.233018e+05,115.5329, 6.282, 4.698
120.00,0.020, 1.081142e+06,111.4817, 6.295, 4.678
120.00,0.020, 1.399321e+06,105.8690, 6.306, 4.651
120.00,0.020, 1.693356e+06, 98.9620, 6.316, 4.642
120.00,0.020, 1.958660e+06, 91.7285, 6.326, 4.635
120.00,0.020, 2.140584e+06, 86.2386, 6.335, 4.634
120.00,0.020, 2.247918e+06, 82.8262, 6.341, 4.389
120.00,0.020, 2.425140e+06, 75.7371, 6.350, 4.405
120.00,0.020, 2.521847e+06, 71.8688, 6.358, 4.425
120.00,0.020, 2.554416e+06, 70.5660, 6.364, 4.445
120.00,0.020, 2.561435e+06, 70.2852, 6.387, 4.517
120.00,0.020, 2.562656e+06, 70.2364, 6.405, 4.549
120.00,0.020, 2.563572e+06, 70.1998, 6.415, 4.520
120.00,0.020, 2.564182e+06, 70.1754, 6.426, 4.478
120.00,0.020, 2.564793e+06, 70.1509, 6.433, 4.430
120.00,0.020, 2.565098e+06, 70.1387, 6.436, 4.405
120.00,0.020, 2.565708e+06, 70.0777, 6.450, 4.322
120.00,0.020, 2.566929e+06, 69.9556, 6.460, 4.285
120.00,0.020, 2.568455e+06, 69.8030, 6.465, 4.250
120.00,0.020, 2.583715e+06, 68.2770, 6.478, 4.288
120.00,0.020, 2.595166e+06, 67.1678, 6.484, 4.511
120.00,0.020, 2.605825e+06, 66.7414, 6.483, 4.542
120.00,0.020, 2.616682e+06, 66.3071, 6.479, 4.569
120.00,0.020, 2.628538e+06, 65.8329, 6.473, 4.598
120.00,0.020, 2.640508e+06, 65.3541, 6.464, 4.626
120.00,0.020, 2.653276e+06, 64.8433, 6.454, 4.654
120.00,0.020, 2.666044e+06, 64.3326, 6.448, 4.692
120.00,0.020, 2.678811e+06, 63.8219, 6.443, 4.731
120.00,0.020, 2.690294e+06, 62.3871, 6.427, 4.102
120.00,0.020, 2.715526e+06, 30.7862, 6.022, 4.325
120.00,0.020, 2.735965e+06, 23.1689, 5.847, 4.402
120.00,0.020, 2.756404e+06, 18.9900, 5.722, 4.455
120.00,0.020, 2.778206e+06, 16.1583, 5.617, 4.496
120.00,0.020, 2.802733e+06, 13.9893, 5.523, 4.531
120.00,0.020, 2.828623e+06, 12.3548, 5.443, 4.560
120.00,0.020, 2.857074e+06, 11.0166, 5.368, 4.585
